"alphabetic_order","Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
61,1,">BL_KRMJM/","אָבֵל כְּרָמִים ","ʔāvēl kᵊrāmîm",,,,,,,,,,,,,,,,,
62,3,">BL_MXWLH/","אָבֵל מְחֹולָה ","ʔāvēl mᵊḥôlāʰ",,,,,,,,,,,,,,,,,
63,1,">BL_MJM/","אָבֵל מָיִם ","ʔāvēl māyim",,,,,,,,,,,,,,,,,
64,1,">BL_MYRJM/","אָבֵל מִצְרַיִם ","ʔāvēl miṣrayim",,,,,,,,,,,,,,,,,
65,273,">BN/","אֶבֶן I","ʔeven","ድንጋይ",,,,,,,,,,,,,,,,
66,2,">BN=/","אֹבֶן II","ʔōven",,,,,,,,,,,,,,,,,
67,3,">BN_H<ZR/","אֶבֶן הָעֵזֶר ","ʔeven hāʕēzer",,,,,,,,,,,,,,,,,
68,9,">BNV/","אַבְנֵט ","ʔavnēṭ",,,,,,,,,,,,,,,,,
69,63,">BNR/","אַבְנֵר ","ʔavnēr",,,,,,,,,,,,,,,,,
70,2,">BS[","אבס ","ʔVS",,,,,,,,,,,,,,,,,
71,2,">B<B<T/","אֲבַעְבֻּעֹת ","ʔᵃvaʕbuʕōt",,,,,,,,,,,,,,,,,
72,1,">BY/","אָבֶץ ","ʔāveṣ",,,,,,,,,,,,,,,,,
73,2,">BYN/","אִבְצָן ","ʔivṣān",,,,,,,,,,,,,,,,,
74,6,">BQ/","אָבָק ","ʔāvāq",,,,,,,,,,,,,,,,,
75,2,">BQ[","אבק ","ʔVQ",,,,,,,,,,,,,,,,,
76,1,">BQH/","אֲבָקָה ","ʔᵃvāqāʰ",,,,,,,,,,,,,,,,,
77,3,">BR/","אֵבֶר ","ʔēver",,,,,,,,,,,,,,,,,
78,1,">BR[","אבר ","ʔVR",,,,,,,,,,,,,,,,,
79,4,">BRH/","אֶבְרָה ","ʔevrāʰ",,,,,,,,,,,,,,,,,
80,175,">BRHM/","אַבְרָהָם ","ʔavrāhām","አብርሃም",,,,,,,,,,,,,,,,
81,1,">BRK","אַבְרֵךְ ","ʔavrēx",,,,,,,,,,,,,,,,,
82,61,">BRM/","אַבְרָם ","ʔavrām",,,,,,,,,,,,,,,,,
83,25,">BCJ/","אַבְשַׁי ","ʔavšay",,,,,,,,,,,,,,,,,
84,109,">BCLWM/","אַבְשָׁלֹום ","ʔavšālôm",,,,,,,,,,,,,,,,,
85,4,">BT/","אֹבֹת ","ʔōvōt",,,,,,,,,,,,,,,,,
86,1,">G>/","אָגֵא ","ʔāgēˀ",,,,,,,,,,,,,,,,,
87,8,">GG/","אֲגַג ","ʔᵃgag",,,,,,,,,,,,,,,,,
88,5,">GGJ/","אֲגָגִי ","ʔᵃgāgî",,,,,,,,,,,,,,,,,
89,4,">GDH/","אֲגֻדָּה ","ʔᵃguddāʰ",,,,,,,,,,,,,,,,,
90,1,">GWZ/","אֱגֹוז ","ʔᵉgôz",,,,,,,,,,,,,,,,,
91,1,">GWR/","אָגוּר ","ʔāgûr",,,,,,,,,,,,,,,,,
92,1,">GWRH/","אֲגֹורָה ","ʔᵃgôrāʰ",,,,,,,,,,,,,,,,,
93,1,">GL/","אֵגֶל ","ʔēgel",,,,,,,,,,,,,,,,,
94,1,">GLJM/","אֶגְלַיִם ","ʔeglayim",,,,,,,,,,,,,,,,,
95,9,">GM/","אֲגַם I","ʔᵃgam",,,,,,,,,,,,,,,,,
96,1,">GM=/","אָגֵם II","ʔāgēm",,,,,,,,,,,,,,,,,
97,5,">GMWN/","אַגְמֹון ","ʔagmôn",,,,,,,,,,,,,,,,,
98,3,">GN/","אַגָּן ","ʔaggān",,,,,,,,,,,,,,,,,
99,7,">GP/","אֲגַף ","ʔᵃgaf",,,,,,,,,,,,,,,,,
100,3,">GR[","אגר ","ʔGR",,,,,,,,,,,,,,,,,
101,2,">GRVL/","אֲגַרְטָל ","ʔᵃgarṭāl",,,,,,,,,,,,,,,,,
102,2,">GRP/","אֶגְרֹף ","ʔegrōf",,,,,,,,,,,,,,,,,
103,10,">GRT/","אִגֶּרֶת ","ʔiggeret",,,,,,,,,,,,,,,,,
104,2,">D/","אֵד ","ʔēd",,,,,,,,,,,,,,,,,
105,1,">DB[","אדב ","ʔDV",,,,,,,,,,,,,,,,,
106,2,">DB>L/","אַדְבְּאֵל ","ʔadbᵊʔēl",,,,,,,,,,,,,,,,,
107,1,">DD/","אֲדַד ","ʔᵃdad",,,,,,,,,,,,,,,,,
108,2,">DW/","אִדֹּו ","ʔiddô",,,,,,,,,,,,,,,,,
109,100,">DWM/","אֱדֹום ","ʔᵉdôm",,,,,,,,,,,,,,,,,
110,335,">DWN/","אָדֹון I","ʔādôn","ጌታ",,,,,,,,,,,,,,,,
111,1,">DWN=/","אַדֹּון II","ʔaddôn",,,,,,,,,,,,,,,,,
112,1,">DWRJM/","אֲדֹורַיִם ","ʔᵃdôrayim",,,,,,,,,,,,,,,,,
113,27,">DJR/","אַדִּיר ","ʔaddîr",,,,,,,,,,,,,,,,,
114,1,">DLJ>/","אֲדַלְיָא ","ʔᵃdalyāˀ",,,,,,,,,,,,,,,,,
115,553,">DM/","אָדָם I","ʔādām","ሰው, ሰው, ሰብአዊ ዘር",,,,,,,,,,,,,,,,
