"Occurrences","lex","Lexeme","None","Peal","Peil","Pael","Hafel","Afel","Shafel","Hofal","Hitpeel","Hitpaal","Hishtafal","Etpeel","Etpaal"
1,"BJT[","בית ",,"huis, paleis, tempel",,,,,,,,,,,
1,"BL/","בָּל ","aandacht",,,,,,,,,,,,
1,"BLH[","בלה ",,,,"uitputten",,,,,,,,,
3,"BLW/","בְּלֹו ","belasting",,,,,,,,,,,,
8,"BLVC>YR/","בֵּלְטְשַׁאצַּר ","Beltesassar",,,,,,,,,,,,
7,"BLC>YR/","בֵּלְשַׁאצַּר ","Belsassar",,,,,,,,,,,,
22,"BNH[","בנה ",,"bouwen",,,,,,,"gebouwd worden",,,,
1,"BNJN/","בִּנְיָן ","gebouw",,,,,,,,,,,,
1,"BNS[","בנס ",,"boos worden",,,,,,,,,,,
12,"B<H[","בעה ",,"(ver)zoeken",,"?, (op)zoeken",,,,,,,,,
2,"B<W/","בָּעוּ ","verzoek, smeekbede",,,,,,,,,,,,
3,"B<L/","בְּעֵל ","eigenaar, heer",,,,,,,,,,,,
1,"BQ<H/","בִּקְעָה ","vlakte",,,,,,,,,,,,
5,"BQR[","בקר ",,,,"(onder)zoeken",,,,,,"gezocht worden",,,
19,"BR/","בַּר I","veld",,,,,,,,,,,,
8,"BR=/","בַּר II","(klein)zoon, behorend tot",,,,,,,,,,,,
1,"BRK/","בְּרַךְ ","knielen",,,,,,,,,,,,
1,"BRK=[","ברך II",,"knielen",,,,,,,,,,,
4,"BRK[","ברך I",,"gezegend",,"zegenen",,,,,,,,,
5,"BRM","בְּרַם ","echter, maar",,,,,,,,,,,,
3,"BFR/","בְּשַׂר ","vlees, levende wezens",,,,,,,,,,,,
2,"BT/","בַּת ","dochter",,,,,,,,,,,,
1,"GB/","גַּב I","rug, zijde",,,,,,,,,,,,
10,"GB=/","גֹּב II","kuil",,,,,,,,,,,,
2,"GBWRH/","גְּבוּרָה ","kracht",,,,,,,,,,,,
21,"GBR/","גְּבַר I","man",,,,,,,,,,,,
1,"GBR=/","גִּבָּר II","sterke man",,,,,,,,,,,,
2,"GDBR/","גְּדָבַר ",,,,,,,,,,,,,
2,"GDD[","גדד ",,"omhakken",,,,,,,,,,,
13,"GW>/","גֹּוא ",,,,,,,,,,,,,
1,"GWH/","גֵּוָה ","trots",,,,,,,,,,,,
1,"GWX[","גוח ",,,,,,,,,,,,,
1,"GZBR/","גִּזְבַּר ","schatmeester",,,,,,,,,,,,
6,"GZR[","גזר ",,,,,,,,,,,,,
2,"GZRH/","גְּזֵרָה ","besluit",,,,,,,,,,,,
1,"GJR/","גִּיר ","kalk",,,,,,,,,,,,
1,"GLGL/","גַּלְגַּל ",,,,,,,,,,,,,
9,"GLH[","גלה ",,"onthullen",,,"in ballingschap voeren",,,,,,,,
4,"GLW/","גָּלוּ ","ballingschap",,,,,,,,,,,,
2,"GLL/","גְּלָל ","steenblok",,,,,,,,,,,,
1,"GMR[","גמר ",,"voltooien",,,,,,,,,,,
3,"GNZ/","גְּנַז ","schat",,,,,,,,,,,,
3,"GP/","גַּף ","?, vleugel",,,,,,,,,,,,
1,"GRM/","גְּרַם ","bot",,,,,,,,,,,,
5,"GCM/","גְּשֵׁם ","lichaam",,,,,,,,,,,,
6,"D>","דָּא ","deze",,,,,,,,,,,,
1,"DB/","דֹּב ","beer",,,,,,,,,,,,
1,"DBX/","דְּבַח ","(slacht)offer",,,,,,,,,,,,
1,"DBX[","דבח ",,"offeren",,,,,,,,,,,
1,"DBQ[","דבק ",,"?, kleven",,,,,,,,,,,
2,"DBRH/","דִּבְרָה ","?",,,,,,,,,,,,
23,"DHB/","דְּהַב ","goud",,,,,,,,,,,,
1,"DHJ/","דֶּהָי ","?",,,,,,,,,,,,
1,"DWQ[","דוק ",,"verpulverd zijn",,,,,,,,,,,
7,"DWR[","דור ",,"wonen, verblijven",,,,,,,,,,,
1,"DWR>/","דּוּרָא ","Dura",,,,,,,,,,,,
1,"DWC[","דושׁ ",,"vertrappen",,,,,,,,,,,
