"Occurrences","lex","Lexeme","Transliterated","None","Peal","Peil","Pael","Hafel","Afel","Shafel","Hofal","Hitpeel","Hitpaal","Hishtafal","Etpeel","Etpaal"
1,">PRSTKJ/","אֲפַרְסַתְכָי ","ʔᵃfarsatxāʸ","<title of officials>",,,,,,,,,,,,
1,">PTM/","אַפְּתֹם ","ʔappᵊtōm","at last?; treasury?",,,,,,,,,,,,
3,">YB</","אֶצְבַּע ","ʔeṣbaʕ","finger; toe",,,,,,,,,,,,
8,">RB</","אַרְבַּע ","ʔarbaʕ","four",,,,,,,,,,,,
3,">RGWN/","אַרְגְּוָן ","ʔargᵊwān","purple",,,,,,,,,,,,
5,">RW","אֲרוּ ","ʔᵃrû","behold",,,,,,,,,,,,
2,">RX/","אֲרַח ","ʔᵃraḥ","way",,,,,,,,,,,,
10,">RJH/","אַרְיֵה ","ʔaryēʰ","lion",,,,,,,,,,,,
5,">RJWK/","אַרְיֹוךְ ","ʔaryôx","Arioch",,,,,,,,,,,,
1,">RJK/","אֲרִיךְ ","ʔᵃrîx","proper",,,,,,,,,,,,
1,">RKBH/","אַרְכֻבָּה ","ʔarxubbāʰ","knee",,,,,,,,,,,,
2,">RKH/","אַרְכָה ","ʔarxāʰ","prolongation",,,,,,,,,,,,
1,">RKWJ/","אַרְכְּוָי ","ʔarkᵊwāʸ","from Erech",,,,,,,,,,,,
21,">R</","אֲרַע ","ʔᵃraʕ","earth; inferior",,,,,,,,,,,,
1,">R<J/","אַרְעִי ","ʔarʕî","bottom",,,,,,,,,,,,
1,">RQ/","אֲרַק ","ʔᵃraq","earth",,,,,,,,,,,,
