"Occurrences","Lexeme","Part of speech","Gloss"
9,"ambo","adjective",""
87,"ambulo","verb",""
130,"amen","interjection",""
1,"amethistus","noun",""
1,"amica","noun",""
7,"amicio","verb",""
29,"amicus","noun",""
3,"Aminadab","proper_noun",""
2,"amissio","noun",""
20,"amo","verb",""
6,"amodo","adverb",""
1,"amomum","noun",""
2,"Amon","proper_noun",""
1,"Amos","proper_noun",""
3,"amoveo","verb",""
1,"Amphipolis","proper_noun",""
1,"amphora","noun",""
34,"ample","adverb",""
1,"amplector","verb",""
1,"Ampliatus","proper_noun",""
1,"amplius","adverb",""
5,"amplus","adjective",""
5,"amputo","verb",""
33,"an","conjunction",""
23,"an","interrogative_adverb",""
2,"an","subjunction",""
11,"Ananias","proper_noun",""
5,"anathema","noun",""
1,"anathematizo","verb",""
14,"ancilla","noun",""
2,"ancora","noun",""
13,"Andreas","proper_noun",""
1,"Andronicus","proper_noun",""
1,"anethum","noun",""
3,"angario","verb",""
154,"angelus","noun",""
1,"angularis","adjective",""
7,"angulus","noun",""
5,"angustia","noun",""
3,"angustio","verb",""
3,"angustus","adjective",""
83,"anima","noun",""
2,"animaequus","adjective",""
21,"animal","noun",""
4,"animalis","adjective",""
1,"animositas","noun",""
9,"animus","noun",""
1,"Anna","proper_noun",""
4,"Annas","proper_noun",""
55,"annus","noun",""
7,"ante","adverb",""
111,"ante","preposition",""
1,"antea","adverb",""
2,"antecedo","verb",""
1,"antecessor","noun",""
6,"antequam","subjunction",""
17,"Antiochea","proper_noun",""
1,"Antiochenus","adjective",""
1,"Antipas","proper_noun",""
1,"Antipatris","proper_noun",""
9,"antiquus","adjective",""
1,"anulus","noun",""
1,"Apelles","proper_noun",""
81,"aperio","verb",""
1,"apertio","noun",""
2,"apertus","adjective",""
2,"apex","noun",""
2,"apocalypsis","noun",""
10,"Apollo","proper_noun",""
1,"Apollonia","proper_noun",""
1,"Apollyon","proper_noun",""
1,"aporior","verb",""
3,"apostolatus","noun",""
69,"apostolus","noun",""
29,"appareo","verb",""
10,"appello","verb",""
1,"Appia","proper_noun",""
1,"Appius","proper_noun",""
2,"applico","verb",""
13,"appono","verb",""
36,"appr(eh)endo","verb",""
2,"appretio","verb",""
1,"approbo","verb",""
30,"appropinquo","verb",""
4,"appropio","verb",""
1,"apto","verb",""
2,"aptus","adjective",""
92,"apud","preposition",""
66,"aqua","noun",""
5,"aquila","noun",""
6,"Aquila","proper_noun",""
2,"aquilo","noun",""
1,"ara","noun",""
2,"Arabia","proper_noun",""
1,"Arabs","noun",""
3,"Aram","proper_noun",""
1,"aratrum","noun",""
13,"arbitror","verb",""
31,"arbor","noun",""
3,"arca","noun",""
1,"arcanus","adjective",""
1,"arcarius","adjective",""
10,"arcesso","verb",""
2,"archangelus","noun",""
1,"Archelaus","proper_noun",""
1,"Archippus","proper_noun",""
6,"archisynagogus","noun",""
1,"architectus","noun",""
3,"architriclinus","noun",""
1,"arcus","noun",""
12,"ardeo","verb",""
2,"area","noun",""
1,"arefacio","verb",""
4,"(h)arena","noun",""
5,"areo","verb",""
3,"aresco","verb",""
1,"Aretas","proper_noun",""
1,"Arfaxat","proper_noun",""
1,"argentarius","noun",""
7,"argenteus","adjective",""
7,"argentum","noun",""
1,"argumentum","noun",""
9,"arguo","verb",""
10,"aridus","adjective",""
4,"Arimathia","proper_noun",""
1,"Ariopagita","proper_noun",""
2,"Ariopagus","proper_noun",""
4,"Aristarchus","proper_noun",""
1,"Aristobolus","proper_noun",""
8,"arma","noun",""
1,"armamenta","noun",""
1,"armatura","noun",""
1,"armo","verb",""
3,"aro","verb",""
4,"aroma","noun",""
2,"arripio","verb",""
4,"ars","noun",""
1,"Artemas","proper_noun",""
1,"artemon","noun",""
3,"artifex","noun",""
1,"artificium","noun",""
1,"artus","adjective",""
1,"as","noun",""
2,"Asa","proper_noun",""
105,"ascendo","verb",""
1,"asellus","noun",""
2,"Aser","proper_noun",""
17,"Asia","proper_noun",""
1,"Asiani","noun",""
5,"asina","noun",""
2,"asinarius","adjective",""
2,"asinus","noun",""
4,"aspectus","noun",""
2,"asper","adjective",""
1,"aspergo","verb",""
1,"aspernor","verb",""
12,"aspicio","verb",""
1,"aspiro","verb",""
1,"aspis","noun",""
1,"assequor","verb",""
1,"assideo","verb",""
2,"assigno","verb",""
4,"assimulo","verb",""
12,"assisto","verb",""
3,"Asson","proper_noun",""
1,"assumentum","noun",""
44,"assumo","verb",""
2,"assumptio","noun",""
1,"assuo","verb",""
1,"assus","adjective",""
10,"asto","verb",""
1,"astringo","verb",""
3,"astutia","noun",""
1,"astutus","adjective",""
1,"Asyncritus","proper_noun",""
124,"at","adverb",""
4,"Athenae","proper_noun",""
2,"Atheniensis","adjective",""
1,"atque","adverb",""
37,"atque","conjunction",""
1,"atramentum","noun",""
11,"atrium","noun",""
1,"Attalea","proper_noun",""
9,"attendo","verb",""
1,"attineo","verb",""
1,"attrecto","verb",""
2,"auctor","noun",""
1,"auctumnalis","adjective",""
2,"audacter","adverb",""
1,"audenter","adverb",""
20,"audeo","verb",""
397,"audio","verb",""
1,"auditor","noun",""
1,"auditorium","noun",""
12,"auditus","noun",""
27,"aufero","verb",""
3,"augeo","verb",""
2,"augmentum","noun",""
1,"Augustus","adjective",""
3,"Augustus","proper_noun",""
1,"aura","noun",""
3,"aurea","noun",""
12,"aureus","adjective",""
7,"auricula","noun",""
36,"auris","noun",""
16,"aurum","noun",""
1,"ausculto","verb",""
7,"auster","noun",""
2,"austeris","adjective",""
190,"aut","conjunction",""
1935,"autem","adverb",""
1,"auxilium","noun",""
6,"avaritia","noun",""
5,"avarus","adjective",""
7,"ave","interjection",""
1,"avello","verb",""
1,"aveo","verb",""
1,"aversor","verb",""
8,"averto","verb",""
1,"aviditas","noun",""
4,"avis","noun",""
2,"Azor","proper_noun",""
1,"Azotus","proper_noun",""
7,"azyma","noun",""
1,"azymum","noun",""
1,"azymus","adjective",""
1,"Baal","proper_noun",""
11,"Babylon","proper_noun",""
4,"baiulo","verb",""
2,"Balaam","proper_noun",""
1,"Balac","proper_noun",""
8,"baptisma","noun",""
12,"baptismum","noun",""
