"Occurrences","Lexeme","Part of speech","Gloss"
5,"Cyprus","proper_noun",""
3,"Cyrenaeus","adjective",""
1,"Cyrene","proper_noun",""
3,"Cyrenensis","adjective",""
1,"Cyrinus","proper_noun",""
8,"daemon","noun",""
66,"daemonium","noun",""
1,"Dalmanutha","proper_noun",""
1,"Dalmatia","proper_noun",""
1,"Damaris","proper_noun",""
1,"Damasceni","noun",""
15,"Damascus","proper_noun",""
9,"damnatio","noun",""
5,"damno","verb",""
1,"damnum","noun",""
1,"Danihelus","proper_noun",""
1,"dator","noun",""
2,"datum","noun",""
56,"David","proper_noun",""
706,"de","preposition",""
2,"dea","noun",""
1,"dealbatus","adjective",""
2,"dealbo","verb",""
1,"deauro","verb",""
39,"debeo","verb",""
5,"debilis","adjective",""
8,"debitor","noun",""
3,"debitum","noun",""
2,"decalvo","verb",""
3,"Decapolis","proper_noun",""
30,"decem","cardinal_numeral",""
1,"deceptio","noun",""
3,"decerno","verb",""
1,"decerto","verb",""
2,"decet","verb",""
5,"decido","verb",""
2,"decimo","verb",""
5,"decimus","ordinal_numeral",""
2,"decipio","verb",""
1,"declaro","verb",""
5,"declino","verb",""
5,"decollo","verb",""
3,"decretum","noun",""
1,"decumbo","verb",""
2,"decurio","noun",""
3,"decurro","verb",""
1,"dedecus","noun",""
3,"dedo","verb",""
14,"deduco","verb",""
4,"defendo","verb",""
5,"defensio","noun",""
3,"defero","verb",""
15,"deficio","verb",""
2,"definio","verb",""
1,"definitus","adjective",""
1,"deformo","verb",""
1,"defraudo","verb",""
10,"defungor","verb",""
1,"deicio","verb",""
3,"deinceps","adverb",""
22,"deinde","adverb",""
3,"deleo","verb",""
1,"delibatio","noun",""
1,"delibo","verb",""
4,"delicia","noun",""
19,"delictum","noun",""
1,"delinquo","verb",""
1,"deliramentum","noun",""
1,"deludo","verb",""
2,"Demas","proper_noun",""
1,"demento","verb",""
2,"demergo","verb",""
2,"Demetrius","proper_noun",""
1,"deminuo","verb",""
1,"deminutio","noun",""
3,"demolior","verb",""
5,"demonstro","verb",""
6,"demoror","verb",""
17,"denarius","noun",""
2,"denego","verb",""
1,"deni","adjective",""
12,"dens","noun",""
6,"denuntio","verb",""
4,"denuo","adverb",""
9,"deorsum","adverb",""
8,"depono","verb",""
2,"deprecatio","noun",""
14,"deprecor","verb",""
2,"depr(eh)endo","verb",""
1,"deputo","verb",""
3,"Derbe","proper_noun",""
1,"Derbeus","adjective",""
10,"derelinquo","verb",""
4,"derideo","verb",""
89,"descendo","verb",""
1,"descensus","noun",""
1,"describo","verb",""
1,"descriptio","noun",""
2,"desero","verb",""
1,"deserta","noun",""
32,"desertum","noun",""
10,"desertus","adjective",""
6,"deservio","verb",""
1,"desiderans","adjective",""
17,"desiderium","noun",""
14,"desidero","verb",""
1,"designo","verb",""
1,"desino","verb",""
3,"desolatio","noun",""
5,"desolo","verb",""
2,"despero","verb",""
1,"despicio","verb",""
1,"despolio","verb",""
1,"despondeo","verb",""
3,"desponsor","verb",""
1,"despumo","verb",""
1,"destinatum","noun",""
3,"destino","verb",""
2,"destituo","verb",""
3,"destructio","noun",""
21,"destruo","verb",""
15,"desum","verb",""
4,"desuper","adverb",""
1,"desursum","adverb",""
2,"deterior","adjective",""
2,"deterius","adverb",""
1,"detestor","verb",""
6,"detineo","verb",""
1,"detractio","noun",""
1,"detractor","noun",""
1,"detraho","verb",""
8,"detrimentum","noun",""
2,"deturpo","verb",""
1087,"deus","noun",""
1,"devasto","verb",""
10,"devenio","verb",""
2,"deverto","verb",""
4,"devito","verb",""
1,"devorator","noun",""
10,"devoro","verb",""
1,"devotio","noun",""
3,"devoveo","verb",""
28,"dexter","adjective",""
17,"dext(e)ra","noun",""
24,"diabolus","noun",""
1,"diaconus","noun",""
3,"diadema","noun",""
5,"Diana","proper_noun",""
2079,"dico","verb",""
2,"didragma","noun",""
3,"Didymus","proper_noun",""
376,"dies","noun",""
4,"diffamo","verb",""
4,"differo","verb",""
4,"difficilis","adjective",""
3,"diffidentia","noun",""
2,"diffundo","verb",""
8,"digitus","noun",""
4,"digne","adverb",""
1,"dignor","verb",""
46,"dignus","adjective",""
6,"diiudico","verb",""
1,"dilanio","verb",""
1,"dilatio","noun",""
3,"dilato","verb",""
17,"dilectio","noun",""
10,"dilectus","adjective",""
1,"dilectus","noun",""
9,"diligenter","adverb",""
1,"diligentia","noun",""
101,"diligo","verb",""
4,"diluculum","noun",""
3,"diluvium","noun",""
5,"dimidium","noun",""
135,"dimitto","verb",""
1,"dinumero","verb",""
1,"Dionisius","proper_noun",""
1,"directus","adjective",""
4,"dirigo","verb",""
4,"diripio","verb",""
3,"dirumpo","verb",""
1,"diruo","verb",""
33,"discedo","verb",""
1,"disceptatio","noun",""
1,"discepto","verb",""
3,"discerno","verb",""
3,"discerpo","verb",""
3,"discessio","noun",""
1,"disciplina","noun",""
2,"discipula","noun",""
258,"discipulus","noun",""
24,"disco","verb",""
1,"discretio","noun",""
2,"discubitus","noun",""
25,"discumbo","verb",""
5,"discus","noun",""
4,"dispensatio","noun",""
4,"dispensator","noun",""
2,"disperdo","verb",""
12,"dispergo","verb",""
1,"dispersio","noun",""
3,"dispertior","verb",""
1,"dispicio","verb",""
7,"dispono","verb",""
1,"dispositio","noun",""
12,"disputo","verb",""
2,"disseco","verb",""
1,"dissemino","verb",""
9,"dissensio","noun",""
4,"dissero","verb",""
5,"dissipo","verb",""
5,"dissolvo","verb",""
3,"distinctio","noun",""
5,"distribuo","verb",""
3,"diu","adverb",""
1,"diurnus","adjective",""
2,"diversorium","noun",""
31,"dives","adjective",""
25,"divido","verb",""
3,"divinitas","noun",""
1,"divino","verb",""
1,"divinum","noun",""
1,"divinus","adjective",""
3,"divisio","noun",""
1,"divisor","noun",""
18,"divitiae","noun",""
5,"divulgo","verb",""
404,"do","verb",""
89,"doceo","verb",""
1,"docibilis","adjective",""
6,"doctor","noun",""
35,"doctrina","noun",""
1,"dogma","noun",""
4,"doleo","verb",""
8,"dolor","noun",""
1,"dolose","adverb",""
9,"dolus","noun",""
5,"domestici","noun",""
2,"domesticus","adjective",""
5,"domi","adverb",""
2,"domicilium","noun",""
3,"dominatio","noun",""
1,"dominator","noun",""
2,"dominicus","adjective",""
10,"dominor","verb",""
631,"dominus","noun",""
1,"domo","verb",""
180,"domus","noun",""
4,"donatio","noun",""
59,"donec","subjunction",""
21,"dono","verb",""
17,"donum","noun",""
2,"Dorcas","proper_noun",""
38,"dormio","verb",""
1,"dormitio","noun",""
1,"dormito","verb",""
1,"dorsum","noun",""
13,"draco","noun",""
3,"dragma","noun",""
1,"Drusilla","proper_noun",""
1,"dubitatio","noun",""
3,"dubito","verb",""
1,"dubium","noun",""
1,"dubius","adjective",""
1,"ducatus","noun",""
6,"ducenti","cardinal_numeral",""
57,"duco","verb",""
3,"dulcis","adjective",""
39,"dum","subjunction",""
1,"dummodo","subjunction",""
122,"duo","cardinal_numeral",""
74,"duodecim","cardinal_numeral",""
1,"duodecimus","ordinal_numeral",""
1,"duplex","adjective",""
1,"duplico","verb",""
2,"duplus","adjective",""
1,"dupondius","noun",""
2,"dure","adverb",""
4,"duritia","noun",""
5,"durus","adjective",""
7,"dux","noun",""
1,"dysenteria","noun",""
1,"Eber","proper_noun",""
3,"ebrietas","noun",""
2,"ebriosus","adjective",""
6,"ebrius","adjective",""
1,"ebur","noun",""
221,"ecce","interjection",""
102,"ecclesia","noun",""
1,"edictum","noun",""
1,"edissero","verb",""
17,"edo","verb",""
2,"edoceo","verb",""
17,"educo I","verb",""
1,"educo II","verb",""
5,"effero","verb",""
16,"efficio","verb",""
1,"effigies","noun",""
2,"effodio","verb",""
5,"effugio","verb",""
25,"effundo","verb",""
1,"Efrem","proper_noun",""
5,"egenus","adjective",""
12,"egeo","verb",""
1282,"ego","personal_pronoun",""
36,"egredior","verb",""
73,"eicio","verb",""
1,"eiulo","verb",""
1,"Elamitae","noun",""
2,"Eleazar","proper_noun",""
6,"electio","noun",""
4,"elementum","noun",""
13,"elemosyna","noun",""
7,"elevo","verb",""
3,"Eliachim","proper_noun",""
3,"elido","verb",""
1,"Eliezer","proper_noun",""
40,"eligo","verb",""
9,"Elisabeth","proper_noun",""
2,"Eliud","proper_noun",""
1,"eloquens","adjective",""
1,"eloquium","noun",""
2,"eloquor","verb",""
1,"Elymas","proper_noun",""
1,"emendo","verb",""
2,"emineo","verb",""
4,"emitto","verb",""
1,"Emmanuhel","proper_noun",""
1,"Emmaus","proper_noun",""
1,"Emmor","proper_noun",""
29,"emo","verb",""
2,"emorior","verb",""
2,"emundatio","noun",""
4,"enarro","verb",""
1,"enato","verb",""
2,"enavigo","verb",""
1,"encenium","noun",""
1,"enigma","noun",""
743,"enim","adverb",""
2,"Enoch","proper_noun",""
1,"Enos","proper_noun",""
1,"enutrio","verb",""
19,"eo","adverb",""
129,"eo","verb",""
2,"Epafroditus","proper_noun",""
2,"Epaphras","proper_noun",""
1,"Ephaenetus","proper_noun",""
5,"Ephesius","adjective",""
15,"Ephesus","proper_noun",""
1,"epicureus","adjective",""
1,"episcopatus","noun",""
3,"episcopus","noun",""
21,"epistula","noun",""
1,"eppheta","foreign_word",""
1,"epulae","noun",""
7,"epulor","verb",""
2,"eques","noun",""
1,"equester","adjective",""
16,"equus","noun",""
4,"eradico","verb",""
3,"Erastus","proper_noun",""
2,"erga","preposition",""
397,"ergo","adverb",""
6,"erigo","verb",""
10,"eripio","verb",""
2,"erogo","verb",""
11,"erro","verb",""
7,"error","noun",""
8,"erubesco","verb",""
1,"eructo","verb",""
3,"erudio","verb",""
1,"eruditor","noun",""
2,"erugo","noun",""
1,"erumpo","verb",""
4,"eruo","verb",""
21,"Esaias","proper_noun",""
2,"Esau","proper_noun",""
17,"esca","noun",""
1,"Esli","proper_noun",""
3,"Esrom","proper_noun",""
24,"esurio","verb",""
532,"et","adverb",""
7957,"et","conjunction","and"
11,"etenim","adverb",""
3,"ethnicus","adjective",""
77,"etiam","adverb",""
1,"etsi","subjunction",""
1,"Eubulus","proper_noun",""
2,"Eufrates","proper_noun",""
3,"euge","interjection",""
1,"Euhodia","proper_noun",""
8,"eunuchus","noun",""
1,"Euroaquilo","proper_noun",""
1,"Eutychus","proper_noun",""
1,"Eva","proper_noun",""
16,"evacuo","verb",""
4,"evado","verb",""
1,"evagino","verb",""
4,"evanesco","verb",""
2,"evangelista","noun",""
70,"evangelium","noun",""
39,"evangelizo","verb",""
1,"evenio","verb",""
1,"everro","verb",""
3,"everto","verb",""
2,"evidens","adjective",""
2,"evigilo","verb",""
1,"evomo","verb",""
446,"ex","preposition",""
4,"ex","subjunction",""
2,"exactor","noun",""
1,"exaestuo","verb",""
19,"exalto","verb",""
1,"examino","verb",""
1,"exardesco","verb",""
1,"exaresco","verb",""
6,"exaudio","verb",""
3,"excaeco","verb",""
3,"excaedo","verb",""
1,"excedo","verb",""
1,"excellens","adjective",""
2,"excello","verb",""
2,"excelsum","noun",""
5,"excelsus","adjective",""
3,"excessus","noun",""
6,"excido I","verb",""
5,"excido II","verb",""
11,"excipio","verb",""
6,"excito","verb",""
15,"exclamo","verb",""
2,"excludo","verb",""
1,"excolo","verb",""
1,"excusatio","noun",""
4,"excuso","verb",""
6,"excutio","verb",""
1,"ex(s)ecratus","adjective",""
3,"exemplum","noun",""
159,"exeo","verb",""
1,"exerceo","verb",""
1,"exercitatio","noun",""
8,"exercitus","noun",""
1,"exfornicatus","adjective",""
13,"exhibeo","verb",""
8,"exhortatio","noun",""
17,"exhortor","verb",""
1,"exigo","verb",""
1,"exiguus","adjective",""
5,"ex(s)ilio","verb",""
1,"eximo","verb",""
2,"exinanio","verb",""
6,"exinde","adverb",""
28,"existimo","verb",""
2,"ex(s)isto","verb",""
1,"exitus","noun",""
1,"exorcista","noun",""
4,"exorior","verb",""
1,"expando","verb",""
1,"expavesco","verb",""
3,"ex(s)pectatio","noun",""
1,"ex(s)pecto","verb",""
10,"expedio","verb",""
4,"expello","verb",""
1,"expergefacio","verb",""
4,"experimentum","noun",""
1,"expers","adjective",""
1,"expeto","verb",""
6,"ex(s)piro","verb",""
4,"expleo","verb",""
1,"expletio","noun",""
2,"explico","verb",""
1,"exploro","verb",""
3,"expolio","verb",""
6,"expono","verb",""
3,"exprobro","verb",""
2,"expugno","verb",""
5,"ex(s)puo","verb",""
1,"expurgo","verb",""
1,"exquaero","verb",""
25,"exspecto","verb",""
1,"exsuscito","verb",""
1,"extasis","noun",""
17,"extendo","verb",""
4,"exter","adjective",""
2,"extergeo","verb",""
2,"extergo","verb",""
1,"Exterminans","proper_noun",""
1,"exterminator","noun",""
2,"extermino","verb",""
2,"exterreo","verb",""
7,"ex(s)tinguo","verb",""
5,"extollo","verb",""
1,"extra","adverb",""
19,"extra","preposition",""
1,"extraho","verb",""
3,"extremum","noun",""
2,"extrinsecus","adverb",""
3,"ex(s)ultatio","noun",""
12,"ex(s)ulto","verb",""
3,"exuo","verb",""
1,"ex(s)upero","verb",""
18,"ex(s)urgo","verb",""
2,"Ezechias","proper_noun",""
2,"faber","noun",""
2,"fabula","noun",""
1,"fabulor","verb",""
64,"facies","noun",""
3,"facile","adverb",""
4,"facilis","adjective",""
1,"facinus","noun",""
939,"facio","verb",""
1,"factor","noun",""
7,"factum","noun",""
1,"factura","noun",""
1,"facula","noun",""
3,"facultas","noun",""
1,"faenerator","noun",""
1,"faeneror","verb",""
8,"faenum","noun",""
3,"fallacia","noun",""
1,"fallo","verb",""
14,"falsus","adjective",""
8,"falx","noun",""
6,"fama","noun",""
12,"fames","noun",""
15,"familia","noun",""
2,"fantasma","noun",""
2,"farina","noun",""
1,"fas","noun",""
1,"fasciculus","noun",""
1,"fascino","verb",""
2,"fatigatio","noun",""
1,"fatigo","verb",""
4,"fatuus","adjective",""
1,"favus","noun",""
1,"fax","noun",""
2,"febricito","verb",""
6,"febris","noun",""
2,"fel","noun",""
9,"Felix","proper_noun",""
5,"femina","noun",""
1,"femur","noun",""
2,"fenestra","noun",""
7,"fere","adverb",""
2,"fermento","verb",""
13,"fermentum","noun",""
34,"fero","verb",""
5,"ferreus","adjective",""
1,"ferrum","noun",""
1,"ferus","adjective",""
1,"ferveo","verb",""
1,"fervo","verb",""
1,"festinanter","adverb",""
2,"festinatio","noun",""
8,"festino","verb",""
1,"festivitas","noun",""
6,"festuca","noun",""
2,"festum","noun",""
21,"festus","adjective",""
12,"Festus","proper_noun",""
12,"fiala","noun",""
1,"fictilis","adjective",""
4,"ficulnea","noun",""
13,"ficus","noun",""
45,"fidelis","adjective",""
158,"fides","noun",""
1,"fido","verb",""
14,"fiducia","noun",""
4,"fiducialiter","adverb",""
1,"figmentum","noun",""
1,"figo","verb",""
4,"figulus","noun",""
5,"figura","noun",""
29,"filia","noun",""
4,"filiolus","noun",""
415,"filius","noun",""
1,"Filologus","proper_noun",""
4,"fimbria","noun",""
1,"fimbriae","noun",""
4,"fingo","verb",""
1,"finio","verb",""
40,"finis","noun",""
1,"finitimus","adjective",""
165,"fio","verb",""
2,"firmo","verb",""
5,"firmus","adjective",""
9,"flagello","verb",""
3,"flagellum","noun",""
6,"flamma","noun",""
2,"flatus","noun",""
6,"flecto","verb",""
1,"Flegon","noun",""
27,"fleo","verb",""
9,"fletus","noun",""
6,"flo","verb",""
5,"fluctus","noun",""
15,"flumen","noun",""
1,"fluo","verb",""
2,"fluvius","noun",""
3,"fluxus","noun",""
6,"fodio","verb",""
1,"foedus","noun",""
3,"Foenicen","proper_noun",""
1,"foeteo","verb",""
6,"folium","noun",""
9,"fons","noun",""
3,"foramen","noun",""
27,"foras","adverb",""
2,"foras","preposition",""
1,"forensis","adjective",""
27,"foris","adverb",""
1,"foris","noun",""
9,"forma","noun",""
1,"formido","verb",""
1,"formo","verb",""
1,"fornax","noun",""
1,"fornicaria","noun",""
3,"fornicarius","noun",""
23,"fornicatio","noun",""
3,"fornicator","noun",""
8,"fornicor","verb",""
7,"forsitan","adverb",""
30,"forte","adverb",""
23,"fortis","adjective",""
1,"fortiter","adverb",""
5,"fortitudo","noun",""
2,"Fortunatus","proper_noun",""
11,"forum","noun",""
5,"fovea","noun",""
2,"foveo","verb",""
2,"fractio","noun",""
9,"fragmentum","noun",""
23,"frango","verb",""
292,"frater","noun",""
2,"fraternitas","noun",""
4,"fraudo","verb",""
2,"fraus","noun",""
4,"fremo","verb",""
1,"frenum","noun",""
1,"frequens","adjective",""
7,"frequenter","adverb",""
8,"fretum","noun",""
4,"frigidus","adjective",""
3,"frigus","noun",""
1,"frons I","noun",""
8,"frons II","noun",""
1,"fructifer","adjective",""
5,"fructifico","verb",""
67,"fructus","noun",""
3,"frumentum","noun",""
2,"fruor","verb",""
2,"frustra","adverb",""
1,"frux","noun",""
1,"fuga","noun",""
27,"fugio","verb",""
4,"fulgeo","verb",""
1,"fulgor","noun",""
8,"fulgur","noun",""
1,"fullo","noun",""
1,"fumigo","verb",""
12,"fumus","noun",""
13,"fundamentum","noun",""
2,"fundo","verb",""
2,"fundo I","verb",""
3,"fundo II","verb",""
3,"fungor","verb",""
1,"funiculus","noun",""
1,"funis","noun",""
14,"fur","noun",""
2,"furor","noun",""
11,"furor","verb",""
5,"furtum","noun",""
3,"fustis","noun",""
13,"futurus","adjective",""
1,"Gabbatha","proper_noun",""
2,"Gabrihel","proper_noun",""
1,"Gad","proper_noun",""
4,"Gaius","proper_noun",""
1,"Galatae","noun",""
3,"Galatia","proper_noun",""
1,"galaticus","adjective",""
2,"galea","noun",""
62,"Galilaea","proper_noun",""
11,"Galilaei","noun",""
1,"Galilaeus","adjective",""
1,"Gallia","proper_noun",""
1,"gallica","noun",""
1,"gallina","noun",""
3,"Gallio","proper_noun",""
13,"gallus","noun",""
2,"Gamalihel","proper_noun",""
58,"gaudeo","verb",""
50,"gaudium","noun",""
1,"gaza","noun",""
1,"Gaza","proper_noun",""
5,"gazophylacium","noun",""
11,"gehenna","noun",""
2,"gemitus","noun",""
1,"gemo","verb",""
1,"genealogia","noun",""
40,"generatio","noun",""
2,"genero","verb",""
4,"genimen","noun",""
1,"Gennesar","proper_noun",""
2,"Gennesareth","proper_noun",""
146,"gens","noun",""
2,"gentilis","adjective",""
12,"gentilis","noun",""
1,"gentiliter","adverb",""
15,"genu","noun",""
19,"genus","noun",""
4,"Geraseni","noun",""
1,"germanus","adjective",""
1,"germino","verb",""
4,"gero","verb",""
2,"Gethsemani","proper_noun",""
44,"gigno","verb",""
32,"gladius","noun",""
118,"gloria","noun",""
4,"gloriatio","noun",""
21,"glorifico","verb",""
39,"glorior","verb",""
1,"gloriose","adverb",""
1,"gloriosus","adjective",""
1,"gluttio","verb",""
1,"Gog","proper_noun",""
3,"Golgotha","proper_noun",""
2,"Gomorra","proper_noun",""
1,"Gomorraei","noun",""
12,"grabattus","noun",""
2,"gradus","noun",""
3,"Graece","adverb",""
12,"Graeci","noun",""
1,"Graecia","proper_noun",""
2,"Graecus","adjective",""
1,"grandis","adjective",""
4,"grando","noun",""
7,"granum","noun",""
174,"gratia","noun",""
1,"gratificor","verb",""
9,"gratis","adverb",""
1,"gratulatio","noun",""
1,"gratus","adjective",""
7,"gravis","adjective",""
2,"graviter","adverb",""
9,"gravo","verb",""
14,"grex","noun",""
1,"grossus","noun",""
1,"gubernaculum","noun",""
1,"gubernatio","noun",""
2,"gubernator","noun",""
11,"gusto","verb",""
1,"gutta","noun",""
1,"guttur","noun",""
617,"habeo","verb",""
2,"habitaculum","noun",""
4,"habitatio","noun",""
46,"habito","verb",""
1,"habitus","noun",""
1,"Hadria","proper_noun",""
1,"hadrumentinus","adjective",""
3,"haedus","noun",""
4,"haeresis","noun",""
1,"haereticus","adjective",""
1,"haesitatio","noun",""
8,"haesito","verb",""
1,"hamus","noun",""
9,"harundo","noun",""
1,"haud","adverb",""
5,"haurio","verb",""
4,"Hebraei","noun",""
2,"Hebraeus","adjective",""
6,"Hebraice","adverb",""
2,"Hebraicus","adjective",""
2,"Heli","foreign_word",""
1,"Heli","proper_noun",""
28,"Helias","proper_noun",""
1,"Heliseus","proper_noun",""
1,"Helmadam","proper_noun",""
2,"Heloi","foreign_word",""
1,"Her","proper_noun",""
2,"herba","noun",""
10,"hereditas","noun",""
12,"heres","noun",""
2,"heri","adverb",""
1,"Hermagedon","proper_noun",""
2,"Hermes","proper_noun",""
43,"Herodes","proper_noun",""
3,"Herodiani","noun",""
6,"Herodias","proper_noun",""
1,"Herodio","proper_noun",""
39,"hic","adverb",""
1165,"hic","demonstrative_pronoun",""
5,"hiemo","verb",""
4,"hiem(p)s","noun",""
3,"Hieremias","proper_noun",""
6,"Hiericho","proper_noun",""
139,"Hierosolyma","proper_noun",""
1,"Hierosolymitae","noun",""
1,"Hiezabel","proper_noun",""
1,"hilaris","adjective",""
1,"hilaritas","noun",""
10,"hinc","adverb",""
2,"Hispania","proper_noun",""
22,"hodie","adverb",""
10,"hodiernus","adjective",""
1,"holocaustoma","noun",""
4,"holus","noun",""
7,"homicida","noun",""
9,"homicidium","noun",""
512,"homo","noun",""
1,"honestas","noun",""
3,"honeste","adverb",""
4,"honestus","adjective",""
26,"honor","noun",""
1,"honorabilis","adjective",""
1,"honoratus","adjective",""
11,"honorifico","verb",""
10,"honoro","verb",""
106,"hora","noun",""
1,"hordeum","noun",""
2,"hordiacius","adjective",""
6,"horreum","noun",""
1,"hortor","verb",""
1,"hortulanus","noun",""
5,"hortus","noun",""
8,"hospes","noun",""
1,"hospitalis","adjective",""
1,"hospitalitas","noun",""
4,"hospitium","noun",""
3,"hospitor","verb",""
7,"hostia","noun",""
20,"huc","adverb",""
1,"humane","adverb",""
2,"humanitas","noun",""
5,"humanus","adjective",""
12,"humilio","verb",""
5,"humilis","adjective",""
7,"humilitas","noun",""
1,"hyacinthinus","adjective",""
1,"hyacinthus","noun",""
3,"hydria","noun",""
1,"hydropicus","adjective",""
3,"hymnus","noun",""
2,"hypocrisis","noun",""
17,"hypocrita","noun",""
1,"hysopum","noun",""
12,"iaceo","verb",""
3,"iacio","verb",""
65,"Iacob","proper_noun",""
8,"iacto","verb",""
1,"iactura","noun",""
2,"iactus","noun",""
2,"Iairus","proper_noun",""
101,"iam","adverb",""
1,"ianitor","noun",""
1,"Iannae","proper_noun",""
18,"ianua","noun",""
1,"Iared","proper_noun",""
5,"Iason","proper_noun",""
4,"iaspis","noun",""
78,"ibi","adverb",""
5,"Iconium","proper_noun",""
1,"ictus","noun",""
47,"idem","demonstrative_pronoun",""
40,"ideo","adverb",""
4,"idiota","noun",""
1,"idolatra","noun",""
1,"idolatria","noun",""
1,"idolium","proper_noun",""
1,"idolothytum","noun",""
2,"idolothytus","adjective",""
18,"idolum","noun",""
2,"idoneus","adjective",""
1,"Idumea","proper_noun",""
2,"Iechonias","proper_noun",""
2,"ieiunatio","noun",""
6,"ieiunium","noun",""
20,"ieiuno","verb",""
3,"ieiunus","adjective",""
5,"Iesse","proper_noun",""
857,"Iesus","proper_noun",""
51,"igitur","adverb",""
2,"igneus","adjective",""
1,"ignio","verb",""
65,"ignis","noun",""
3,"ignobilis","adjective",""
3,"ignobilitas","noun",""
2,"ignominia","noun",""
4,"ignorantia","noun",""
25,"ignoro","verb",""
4,"ignotus","adjective",""
1,"ilico","adverb",""
1639,"ille","demonstrative_pronoun",""
19,"illic","adverb",""
2,"illido","verb",""
1,"illo","adverb",""
11,"illuc","adverb",""
2,"illucesco","verb",""
11,"illudo","verb",""
2,"illuminatio","noun",""
10,"illumino","verb",""
1,"illustratio","noun",""
1,"Illyricum","proper_noun",""
21,"imago","noun",""
1,"imbecillis","adjective",""
1,"imbecillitas","noun",""
1,"imber","noun",""
6,"imitator","noun",""
2,"imitor","verb",""
3,"immaculatus","adjective",""
2,"immensus","adjective",""
2,"immineo","verb",""
2,"immitto","verb",""
3,"immo","adverb",""
3,"immobilis","adjective",""
1,"immolaticius","adjective",""
10,"immolo","verb",""
2,"immortalitas","noun",""
9,"immunditia","noun",""
30,"immundus","adjective",""
3,"immuto","verb",""
1,"impaenitens","adjective",""
1,"imparatus","adjective",""
1,"impedimentum","noun",""
3,"impedio","verb",""
2,"impendo","verb",""
1,"imperitus","adjective",""
3,"imperium","noun",""
11,"impero","verb",""
1,"impertio","verb",""
7,"impetus","noun",""
1,"impie","adverb",""
3,"impietas","noun",""
1,"impingo","verb",""
5,"impius","adjective",""
77,"impleo","verb",""
42,"impono","verb",""
1,"importabilis","adjective",""
1,"importune","adverb",""
1,"importunus","adjective",""
1,"impositio","noun",""
8,"impossibilis","adjective",""
1,"improbitas","noun",""
1,"improperium","noun",""
2,"impropero","verb",""
2,"imprudens","adjective",""
4,"impudicitia","noun",""
1,"impudicus","adjective",""
4,"imputo","verb",""
3784,"in","preposition","in, into"
1,"inambulo","verb",""
13,"inanis","adjective",""
1,"inaquosus","adjective",""
1,"inauro","verb",""
1,"incedo","verb",""
2,"incendium","noun",""
1,"incendo","verb",""
5,"incensum","noun",""
2,"incertus","adjective",""
5,"incido","verb",""
28,"incipio","verb",""
1,"incircumcisus","adjective",""
1,"incito","verb",""
7,"inclino","verb",""
1,"includo","verb",""
1,"incola","noun",""
1,"incompositus","adjective",""
1,"incomprehensibilis","adjective",""
1,"inconsutilis","adjective",""
1,"incontaminatus","adjective",""
1,"incontinentia","noun",""
2,"incorruptela","noun",""
1,"incorruptibilis","adjective",""
3,"incorruptio","noun",""
2,"incorruptus","adjective",""
1,"incrasso","verb",""
3,"incredibilis","adjective",""
10,"incredulitas","noun",""
8,"incredulus","adjective",""
3,"incrementum","noun",""
18,"increpo","verb",""
1,"incresco","verb",""
2,"incumbo","verb",""
1,"incurvo","verb",""
38,"inde","adverb",""
2,"indemnatus","adjective",""
6,"indico I","verb",""
1,"indico II","verb",""
9,"indigeo","verb",""
4,"indignatio","noun",""
4,"indigne","adverb",""
7,"indignor","verb",""
2,"indignus","adjective",""
10,"induco","verb",""
1,"indulgentia","noun",""
22,"induo","verb",""
3,"induro","verb",""
4,"inebrio","verb",""
2,"inenarrabilis","adjective",""
3,"ineo","verb",""
2,"inexcusabilis","adjective",""
4,"inexstinguibilis","adjective",""
1,"infamia","noun",""
9,"infans","noun",""
1,"infantia","noun",""
1,"infelicitas","noun",""
1,"infelix","adjective",""
1,"infernus","adjective",""
8,"infernus","noun",""
6,"infero","verb",""
1,"inferus","adjective",""
3,"inferus","noun",""
18,"infidelis","adjective",""
22,"infirmitas","noun",""
15,"infirmo","verb",""
40,"infirmus","adjective",""
1,"inflatio","noun",""
7,"inflo","verb",""
1,"infra","adverb",""
1,"infringo","verb",""
3,"infructuosus","adjective",""
1,"infundo","verb",""
4,"ingemesco","verb",""
1,"ingemo","verb",""
1,"ingenitus","adjective",""
1,"ingratus","adjective",""
1,"ingravo","verb",""
30,"ingredior","verb",""
14,"inhabito","verb",""
1,"inhonestus","adjective",""
2,"inhonoro","verb",""
7,"inicio","verb",""
1,"inimica","noun",""
4,"inimicitia","noun",""
1,"inimicus","adjective",""
28,"inimicus","noun",""
27,"iniquitas","noun",""
11,"iniquus","adjective",""
23,"initium","noun",""
10,"iniuria","noun",""
3,"iniustitia","noun",""
3,"iniustus","adjective",""
3,"innocens","adjective",""
2,"innotesco","verb",""
3,"innuo","verb",""
2,"innuptus","adjective",""
1,"inoboediens","adjective",""
2,"inoboedientia","noun",""
2,"inoperor","verb",""
3,"inopia","noun",""
1,"inordinate","adverb",""
8,"inquam","verb",""
1,"inquiete","adverb",""
1,"inquieto","verb",""
2,"inquietus","adjective",""
1,"inquinamentum","noun",""
2,"inquino","verb",""
4,"inquiro","verb",""
1,"inquisitio","noun",""
1,"insania","noun",""
6,"insanio","verb",""
3,"inscribo","verb",""
2,"inscriptio","noun",""
1,"insensatus","adjective",""
4,"insero I","verb",""
