"Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
2,">BL_BJT_M<KH/","אָבֵל בֵּית מַעֲכָה ","ʔāvēl bêt maʕᵃxāʰ","Abel Beth Maacah",,,,,,,,,,,,,,,,
1,">BL_HCVJM/","אָבֵל הַשִּׁטִּים ","ʔāvēl haššiṭṭîm","Abel Shittim",,,,,,,,,,,,,,,,
1,">BL_KRMJM/","אָבֵל כְּרָמִים ","ʔāvēl kᵊrāmîm","Abel Keramim",,,,,,,,,,,,,,,,
3,">BL_MXWLH/","אָבֵל מְחֹולָה ","ʔāvēl mᵊḥôlāʰ","Abel Meholah",,,,,,,,,,,,,,,,
1,">BL_MJM/","אָבֵל מָיִם ","ʔāvēl māyim","Abel Maim",,,,,,,,,,,,,,,,
1,">BL_MYRJM/","אָבֵל מִצְרַיִם ","ʔāvēl miṣrayim","Abel Mizraim",,,,,,,,,,,,,,,,
273,">BN/","אֶבֶן I","ʔeven","stone",,,,,,,,,,,,,,,,
2,">BN=/","אֹבֶן II","ʔōven","potter's wheel; midwife's stool?",,,,,,,,,,,,,,,,
3,">BN_H<ZR/","אֶבֶן הָעֵזֶר ","ʔeven hāʕēzer","Ebenezer",,,,,,,,,,,,,,,,
9,">BNV/","אַבְנֵט ","ʔavnēṭ","girdle",,,,,,,,,,,,,,,,
63,">BNR/","אַבְנֵר ","ʔavnēr","Abner",,,,,,,,,,,,,,,,
2,">BS[","אבס ","ʔVS",,"fatten",,,,,,,,,,,,,,,
2,">B<B<T/","אֲבַעְבֻּעֹת ","ʔᵃvaʕbuʕōt","blisters, boils",,,,,,,,,,,,,,,,
1,">BY/","אָבֶץ ","ʔāveṣ","Ebez",,,,,,,,,,,,,,,,
2,">BYN/","אִבְצָן ","ʔivṣān","Ibzan",,,,,,,,,,,,,,,,
6,">BQ/","אָבָק ","ʔāvāq","dust",,,,,,,,,,,,,,,,
2,">BQ[","אבק ","ʔVQ",,,"wrestle",,,,,,,,,,,,,,
1,">BQH/","אֲבָקָה ","ʔᵃvāqāʰ","scent-powder",,,,,,,,,,,,,,,,
3,">BR/","אֵבֶר ","ʔēver","wing",,,,,,,,,,,,,,,,
1,">BR[","אבר ","ʔVR",,,,,,,"fly, soar up",,,,,,,,,,
4,">BRH/","אֶבְרָה ","ʔevrāʰ","wing",,,,,,,,,,,,,,,,
175,">BRHM/","אַבְרָהָם ","ʔavrāhām","Abraham",,,,,,,,,,,,,,,,
1,">BRK","אַבְרֵךְ ","ʔavrēx","(uncertain)",,,,,,,,,,,,,,,,
61,">BRM/","אַבְרָם ","ʔavrām","Abram",,,,,,,,,,,,,,,,
25,">BCJ/","אַבְשַׁי ","ʔavšay","Abishai",,,,,,,,,,,,,,,,
109,">BCLWM/","אַבְשָׁלֹום ","ʔavšālôm","Absalom",,,,,,,,,,,,,,,,
4,">BT/","אֹבֹת ","ʔōvōt","Oboth",,,,,,,,,,,,,,,,
1,">G>/","אָגֵא ","ʔāgēˀ","Agee",,,,,,,,,,,,,,,,
8,">GG/","אֲגַג ","ʔᵃgag","Agag",,,,,,,,,,,,,,,,
